#data = [currenthalo, BH['iord'][i], gettime(s),getz(s), BH['mass'][i], BH['r'][i], starmass, gasmass, virialmass]
8, 89422247, 3.012346281572668, 2.289125928489568, 341271.45151496842, 0.2724642540378705, 3713321.3682784745, 46105901.0762742, 1673468670.9602249
9, 89422741, 3.012346281572668, 2.289125928489568, 52087.903469610894, 0.0033376992206651185, 584620.3311506029, 14101182.12842918, 1098724020.4610605
7, 89422247, 3.8698724733724617, 1.7660454542582111, 341506.754958365, 0.22294980944300921, 3606611.193114937, 35235263.49069514, 2129579784.8020358
11, 89422741, 3.8698724733724617, 1.7660454542582111, 52087.903469610894, 0.0035573426256385451, 574643.8593286846, 6362640.302338865, 1269285065.330355
2568, 89425759, 3.8698724733724617, 1.7660454542582111, 162228.53248260004, 0.0024304062869607433, 208206.6172603785, 0.0, 1713546.9712308156
3, 89425759, 3.903369590239607, 1.7494470750299072, 162228.54851144497, 3.096460948789546, 11070107.304395555, 182107123.70606357, 4813806125.92666
7, 89422247, 3.903369590239607, 1.7494470750299072, 341506.78701605485, 0.20157126871637637, 3603561.839485633, 35089438.10339501, 2177042294.3539414
11, 89422741, 3.903369590239607, 1.7494470750299072, 52087.903469610894, 0.008704625639798156, 574330.925121329, 6602394.029301621, 1285876765.2779663
3, 89425759, 4.298635569270686, 1.5694666434945104, 162231.28944392595, 3.4475400020308244, 10847120.530341486, 166546740.45418364, 5043939419.036073
6, 89422247, 4.298635569270686, 1.5694666434945104, 341517.59045752959, 0.19523509632976269, 3571383.5484012747, 38184829.29832839, 2425196231.437862
11, 89422741, 4.298635569270686, 1.5694666434945104, 52087.903469610894, 0.0060574758433187235, 570934.0309145728, 7183824.522856908, 1438773928.145439
3, 89425759, 4.469470865292553, 1.4996476628885964, 162238.63065489841, 2.0394717427378075, 10785699.11960525, 167333244.31702185, 5153501941.239842
6, 89422247, 4.469470865292553, 1.4996476628885964, 341517.59045752959, 0.20334740365887094, 3559270.8359670546, 36638298.11661383, 2518447386.651745
11, 89422741, 4.469470865292553, 1.4996476628885964, 52087.903469610894, 0.0074884745135417345, 569612.0743452962, 6074999.925828075, 1494147348.8558643
3, 89425759, 4.727398665168711, 1.4019186731979194, 162240.60220282333, 1.1196286484968603, 10830282.868954051, 168010500.08623958, 5301354148.363953
7, 89422247, 4.727398665168711, 1.4019186731979194, 341517.59045752959, 0.18157403690236387, 3542606.8913032045, 28533233.784517378, 2593492382.5328374
11, 89422741, 4.727398665168711, 1.4019186731979194, 52087.903469610894, 0.011889889830750594, 567755.0605787005, 4898517.028793402, 1553109354.3255901
3, 89425759, 5.1561617610770725, 1.256851805422384, 162252.44751921773, 2.7550847770047189, 10706280.761163317, 180796983.61763397, 5553625517.191886
7, 89422247, 5.1561617610770725, 1.256851805422384, 341517.59045752959, 0.17028651010927207, 3528658.205669341, 25580132.835987475, 2727571252.292221
11, 89422741, 5.1561617610770725, 1.256851805422384, 52087.903469610894, 0.0081840396631313681, 565226.5475004643, 2979520.9210002506, 1651872452.6720512
3, 89425759, 5.179609742885725, 1.2494677632685023, 162252.46354806266, 3.0790282698196467, 10700690.158677565, 181731915.7374881, 5568169529.875253
7, 89422247, 5.179609742885725, 1.2494677632685023, 341517.59045752959, 0.15534074932160385, 3527438.2344885827, 25476932.056045875, 2732735522.7799954
11, 89422741, 5.179609742885725, 1.2494677632685023, 52087.903469610894, 0.0096404265888284466, 565172.1914959037, 2867298.09519272, 1656222910.1679392
4, 89425759, 5.584924856992905, 1.1295898006944163, 162256.93559579478, 3.4532061461524162, 10723479.065378405, 184141058.49648872, 5785538753.05543
8, 89422247, 5.584924856992905, 1.1295898006944163, 341517.59045752959, 0.036142482923885895, 3507826.0944705047, 19085160.659276586, 2795250077.2205796
11, 89422741, 5.584924856992905, 1.1295898006944163, 52087.903469610894, 0.0080149771945858938, 564338.7418381446, 2117005.4774003197, 1718902563.7060664
4, 89425759, 6.013687952908709, 1.0166981539628894, 162264.72561442494, 2.1039371756388796, 10847377.506473754, 179322336.53558096, 6067684535.745277
8, 89422247, 6.013687952908709, 1.0166981539628894, 341517.59045752959, 0.01023552696408731, 3489844.21196934, 17952553.153903224, 2856477861.350108
11, 89422741, 6.013687952908709, 1.0166981539628894, 52087.903469610894, 0.0033521281392665117, 563635.4856279613, 2356914.202855144, 1796953211.7199244
4, 89425759, 6.084031898330907, 0.9993614554652239, 162267.3543449915, 1.5623384909352154, 10830763.280406654, 173835648.07592767, 6112383667.784668
8, 89422247, 6.084031898330907, 0.9993614554652239, 341517.59045752959, 0.11513224687334442, 3487121.2259403807, 18262226.821837477, 2875188596.979006
